null	No.	OK	change	protein name	old
R00	7445			Phosphate import ATP-binding protein PstB 1	ABC phosphate transport system ATP-binding protein
R00	7446			Phosphate import ATP-binding protein PstB 2	phosphate ABC transporter ATP-binding protein, PhoT family
R00	7447			Phosphate import ATP-binding protein PstB 2	phosphate ABC transporter ATP binding protein
R00	7448			Phosphate import ATP-binding protein PstB 2	ABC phosphate transport system ATP-binding protein
R00	7449			Photosystem II manganese-stabilizing polypeptide	photosystem II manganese-stabilizing polypeptide
R00	7450			Photosystem II manganese-stabilizing polypeptide	Mn-stabilizing protein precursor
R00	7451			Photosystem II manganese-stabilizing polypeptide	Mn-stabilizing protein
R00	7452			Photosystem II manganese-stabilizing polypeptide	manganese-stabilzing protein precursor
R00	7453			Photosystem II manganese-stabilizing polypeptide	photosystem II manganese stabilizing protein
R00	7454			Photosystem II manganese-stabilizing polypeptide	photosystem II manganese-stabilizing polypeptide, 33 kD extrinsic protein
R00	7455			Cytochrome b559 subunit alpha	Cytochrome b559 alpha-subunit
R00	7456			Cytochrome b559 subunit alpha	cytochrome b559, alpha subunit of photosystem II PsbE
R00	7457			Cytochrome b559 subunit alpha	photosystem II cytochrome b559 alpha subunit
R00	7458			Cytochrome b559 subunit alpha	cytochrome b559 a subunit
R00	7459			Cytochrome b559 subunit alpha	cytochrome b-559 alpha subunit
R00	7460			Cytochrome b559 subunit alpha	Cytochrome b559, alpha subunit
R00	7461			Cytochrome b559 subunit alpha	Photosystem II protein cytochrome b559
R00	7462			Cytochrome b559 subunit alpha	cytochrome b559 alpha subunit
R00	7463			Cytochrome b559 subunit alpha	Cytochrome b559 alpha subunit PsbE
R00	7464			Cytochrome b559 subunit alpha	PsbE
R00	7465			Cytochrome b559 subunit alpha	cytochrome b559, alpha subunit (Photosystem II subunit PsbE)
R00	7466			Cytochrome b559 subunit alpha	cytochrome b559 alpha-subunit
R00	7467			Photosystem II reaction center protein H	Photosystem II PsbH protein
R00	7468			Photosystem II reaction center protein H	photosystem II 10 kD phosphoprotein
R00	7469			Photosystem II reaction center protein H	phosphoprotein of photosystem II
R00	7470			Photosystem II reaction center protein H	photosystem II PsbH protein
R00	7471			Photosystem II reaction center protein H	hypothetical protein
R00	7472			Photosystem II reaction center protein H	photosystem II 10 kDa phosphoprotein (PsbH)
R00	7473			Photosystem II reaction center protein H	Photosystem II phosphoprotein PsbH
R00	7474			Photosystem II reaction center protein H	Photosystem II 10 kDa phosphoprotein PsbH
R00	7475			Photosystem II reaction center protein H	photosystem II protein
R00	7476			Photosystem II reaction center protein Z	photosystem II reaction center protein Z
R00	7477			Photosystem II reaction center protein Z	unknown protein
R00	7478			Photosystem II reaction center protein I	Photosystem II reaction center I protein
R00	7479			Photosystem II reaction center protein J	Photosystem II reaction center J protein
R00	7480			Photosystem II reaction center protein J	photosystem II reaction center protein J
R00	7481			Photosystem II reaction center protein K	precursor polypeptide (AA -8 to 37)
R00	7482			Photosystem II reaction center protein K	photosystem II reaction centre protein K precursor (PSII-K)
R00	7483			Photosystem II 12 kDa extrinsic protein	Photosystem II 12 kDa extrinsic PsbU protein
R00	7484			Photosystem II 12 kDa extrinsic protein	component of photosystem II
R00	7485			Photosystem II 12 kDa extrinsic protein	PS II-11K protein
R00	7486			Photosystem II 12 kDa extrinsic protein	photosystem II PsbU protein
R00	7487			Photosystem II protein Y	Photosystem II PsbY protein
R00	7488			Photosystem II protein Y	photosystem II protein
R00	7489			Photosystem II protein Y	possible photosystem II PsbY protein
R00	7490			Cytochrome b559 subunit beta	photosystem II PsbF protein
R00	7491			Cytochrome b559 subunit beta	Cytochrome b559 beta chain
R00	7492			Photosystem II reaction center X protein	Photosystem II PsbX protein
R00	7493			Protein PsbN	Photosystem II reaction center N protein
R00	7494			Photosystem II reaction center protein T	Photosystem II reaction center T protein
R00	7495			Photosystem II reaction center protein T	photosystem II psbT protein
R00	7496			Photosystem II reaction center protein M	Photosystem II reaction center M protein
R00	7497			Protein PsbN 2	photosystem II PsbN protein
R00	7498			Photosystem II reaction center protein L	Photosystem II protein reaction center L protein
R00	7499			Photosystem II reaction center protein L	Photosystem II reaction center L protein
R00	7500			Photosystem II reaction center protein L	photosystem II reaction center protein L
R00	7501			Phosphate import ATP-binding protein PstB 2	phosphate ABC transporter, ATP-binding protein
R00	7502			Phosphate import ATP-binding protein PstB 2	phosphate transport ATP-binding protein; PstB
R00	7503			Photosystem II manganese-stabilizing polypeptide	manganese-stabilzing protein (MSP) precursor
R00	7504			Cytochrome b559 subunit alpha	Cytochrome b559 alpha subunit (PSII reaction center subunit V)
R00	7505			Cytochrome b559 subunit alpha	photosystem II PsbE protein
R00	7506			Protein PsbN 1	photosystem II PsbN protein
R00	7507			Photosystem II reaction center protein H	Photosystem II reaction center H protein
R00	7508			Photosystem II reaction center protein H	photosystem II psbH protein
R00	7509			Photosystem II reaction center protein H	Photosystem II 10 kDa phosphoprotein (PsbH)
R00	7510			Phycobilisome 32.1 kDa linker polypeptide, phycocyanin-associated, rod 1	phycocyanin associated linker protein
R00	7511			Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core	ApcC
R00	7512			Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core	phycobilisome core component
R00	7513			Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core	'10kDa core linker protein'
R00	7514			Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core	core linker protein
R00	7515			Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core	phycobilisome core linker protein Lc7.8
R00	7516			Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core	phycobilisome LC linker polypeptide
R00	7517			Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core	core linker
R00	7518			Phycobilisome 31.8 kDa linker polypeptide, phycoerythrin-associated, rod	phycoerythrin-associated linker protein
R00	7519			Phosphate import ATP-binding protein PstB	response regulator receiver protein
R00	7520			Phosphate import ATP-binding protein PstB	Phosphate transport system permease protein 1
R00	7521			Phosphate import ATP-binding protein PstB	ABC-type phosphate transport ATP-binding protein
R00	7522			Phosphate import ATP-binding protein PstB	putative phosphate ABC transporter, ATP binding subunit
R00	7523			Phosphate import ATP-binding protein PstB	ABC-type phosphate transport system ATPase component
R00	7524			Phosphate import ATP-binding protein PstB	ATP-binding protein of phosphate ABC transporter
R00	7525			Phosphoribosylaminoimidazole-succinocarboxamide synthase	phosphoribosyl aminoimidazole succinocarboxamide synthase
R00	7526			Phosphoribosylaminoimidazole-succinocarboxamide synthase	Phosphoribosylaminoimidazolesuccinocarboxamide synthase
R00	7527			Phosphoribosylaminoimidazole-succinocarboxamide synthase	phosphoribosylaminoimidazolesuccinocarboxamide synthase
R00	7528			Phosphate import ATP-binding protein PstB 3	phosphate transport ATP-binding protein; PstB
R00	7529			Phosphate import ATP-binding protein PstB 3	phosphate ABC transporter ATP-binding protein, PhoT family
R00	7530			Phosphate import ATP-binding protein PstB 3	ATP-binding protein of phosphate ABC transporter
R00	7531			Orotidine 5'-phosphate decarboxylase	orotidine 5' monophosphate decarboxylase
R00	7532			Orotidine 5'-phosphate decarboxylase	Orotidine-5'-phosphate decarboxylase
R00	7533			Phosphoribosylformylglycinamidine synthase subunit PurQ	phosphoribosyl formylglycinamidine synthase
R00	7534			Phosphoribosylformylglycinamidine synthase subunit PurQ	phosphoribosylformyl glycinamidine synthetase
R00	7535			Phosphate import ATP-binding protein PstB 4	phosphate ABC transporter ATP-binding protein, PhoT family
R00	7536			Phycobilisome 27.9 kDa linker polypeptide, phycoerythrin-associated, rod	phycoerythrin-associated linker protein
R00	7537			Phycobilisome 37.5 kDa linker polypeptide, phycocyanin-associated, rod	L-37.5/R linker protein
R00	7538			Phycobilisome 37.5 kDa linker polypeptide, phycocyanin-associated, rod	phycocyanin-associated peripheral rod-linker protein
R00	7539			Peptidyl-tRNA hydrolase	putative peptidyl-tRNA hydrolase (PTH)
R00	7540			Phosphoribosylformylglycinamidine synthase subunit PurL	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain
R00	7541			Phosphoribosylformylglycinamidine synthase subunit PurL	phosphoribosylformyl glycinamidine synthetase II
R00	7542			Phosphoribosylformylglycinamidine synthase subunit PurL	FGAM synthetase
R00	7543			Phosphoribosylformylglycinamidine synthase subunit PurL	phosphoribosylformyl glycinamidine synthetase
R00	7544			Phosphoribosylformylglycinamidine synthase subunit PurL	phosphoribosylformylglycinamide synthetase II
R00	7545			Phosphoribosylformylglycinamidine synthase subunit PurL	Phosphoribosylformylglycinamidine (FGAM) synthase
R00	7546			Phycobilisome 32.1 kDa linker polypeptide, phycocyanin-associated, rod	phycocyanin-associated rod linker protein
R00	7547			Phycobilisome 32.1 kDa linker polypeptide, phycocyanin-associated, rod	phycocyanin associated linker protein
R00	7548			Phycobilisome 32.1 kDa linker polypeptide, phycocyanin-associated, rod	32kDa rod linker protein
R00	7549			Phycobilisome 32.1 kDa linker polypeptide, phycocyanin-associated, rod	phycobilisome rod linker polypeptide
R00	7550			Phycobilisome rod-core linker polypeptide CpcG3	CpcG3 rod-core linker polypeptide
R00	7551			Phycobilisome rod-core linker polypeptide CpcG3	phycobilisome rod-core linker protein
R00	7552			Phycobilisome 32.3 kDa linker polypeptide, phycocyanin-associated, rod	phycocyanin-associated rod linker protein
R00	7553			Dihydroorotate dehydrogenase (quinone)	dihydroorotate oxidase
R00	7554			Dihydroorotate dehydrogenase (quinone)	Dihydroorotate oxidase
R00	7555			Formyltetrahydrofolate deformylase	phosphoribosylglycinamide formyltransferase
R00	7556			Phycobilisome rod-core linker polypeptide CpcG1	CpcG1 rod-core linker polypeptide
R00	7557			Phycobilisome rod-core linker polypeptide CpcG1	rod-core linker protein 1
R00	7558			Phycobilisome rod-core linker polypeptide CpcG1	phycobilisome rod-core linker protein
R00	7559			Phycobilisome rod-core linker polypeptide CpcG1	31kDa rod-core linker protein
R00	7560			Phycobilisome rod-core linker polypeptide CpcG1	phycobilisome 31kDa rod-core linker polypeptide
R00	7561			Phycobilisome rod-core linker polypeptide CpcG	Phycobilisome rod-core linker polypeptide cpcG (L-RC 28.5)
R00	7562			Phycobilisome 34.5 kDa linker polypeptide, phycoerythrocyanin-associated, rod	phycoerythrocyanin associated linker polypeptide
R00	7563			Phycobilisome 34.5 kDa linker polypeptide, phycoerythrocyanin-associated, rod	phycoerythrocyanin linker protein precursor
R00	7564			Phycobilisome 34.5 kDa linker polypeptide, phycoerythrocyanin-associated, rod	phycoerythrocyanin-associated rod linker protein
R00	7565			Phosphoribosylglycinamide formyltransferase 2	GAR transformylase 2
R00	7566			Phosphoribosylglycinamide formyltransferase 2	Formate-dependent phosphoribosylglycinamide
R00	7567			Phosphoribosylglycinamide formyltransferase 2	Formate-dependent phosphoribosyl glycinamide formyl transferase
R00	7568			Phosphoribosylglycinamide formyltransferase 2	glycinamide ribonucleotide transformylase
R00	7569			Phosphoribosylglycinamide formyltransferase 2	Formate-dependent phosphoribosylglycinamide formyltransferase
R00	7570			Phosphoribosylformylglycinamidine cyclo-ligase	phosphoribosyl formylglycinamidine cyclo-ligase
R00	7571			Phosphoribosylformylglycinamidine cyclo-ligase	Phosphoribosylaminoimidazole (AIR) synthetase
R00	7572			Phycobilisome rod-core linker polypeptide CpcG2	CpcG2 rod-core linker polypeptide
R00	7573			Phycobilisome rod-core linker polypeptide CpcG2	phycobilisome rod-core linker protein
R00	7574			Phycobilisome rod-core linker polypeptide CpcG2	29kDa rod-core linker protein
R00	7575			Phycobilisome rod-core linker polypeptide CpcG2	phycobilisome 29kDa rod-core linker polypeptide
R00	7576			Phycobilisome rod-core linker polypeptide CpcG4	phycobilisome rod-core linker protein
R00	7577			Phycobilisome rod-core linker polypeptide CpcG4	30kDa rod-core linker protein
R00	7578			Phycobilisome rod-core linker polypeptide CpcG4	phycobilisome 30kDa rod-core linker polypeptide
R00	7579			Phycobilisome 32.1 kDa linker polypeptide, phycocyanin-associated, rod 2	phycocyanin associated linker protein
R00	7580			Bifunctional purine biosynthesis protein PurH	AICARFT/IMPCHase bienzyme:Methylglyoxal synthase-like domain-containing protein
R00	7581			Bifunctional purine biosynthesis protein PurH	AICARFT/IMPCHase bienzyme:Methylglyoxal synthase-like domain
R00	7582			Bifunctional purine biosynthesis protein PurH	AICAR transformylase/IMP cyclohydrolase PurH
R00	7583			Bifunctional purine biosynthesis protein PurH	bifunctional purine biosynthesis protein
R00	7584			Bifunctional purine biosynthesis protein PurH	bifunctional phosphoribosyl aminoimidazole carboxy formyl formyltransferase/inosinemonophosphate cyclohydrolase
R00	7585			Bifunctional purine biosynthesis protein PurH	phosphoribosyl aminoimidazole carboxy formyl formyltransferase/inosinemonophosphate cyclohydrolase; PUR-H(J)
R00	7586			Bifunctional purine biosynthesis protein PurH	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase
R00	7587			Bifunctional purine biosynthesis protein PurH	IMP cyclohydrolase / phosphoribosylaminoimidazolecarboxamide formyltransferase
R00	7588			Bifunctional purine biosynthesis protein PurH	phosphoribosyl aminoimidazole carboxy formyl formyltransferase / inosinemonophosphate cyclohydrolase
R00	7589			Phosphoribosylamine--glycine ligase	glycinamide ribonucleotide synthetase
R00	7590			Orotate phosphoribosyltransferase	uridine 5'-monophosphate synthase
R00	7591			Orotate phosphoribosyltransferase	orotate phosphoribosyl transferase
R00	7592			Phycobilisome 39 kDa linker polypeptide, phycocyanin-associated, rod	L-39/R linker protein precursor
R00	7593			N5-carboxyaminoimidazole ribonucleotide synthase	phosphoribosyl aminoimidazole carboxylase
R00	7594			Adenylosuccinate synthetase	Adenylosuccinate synthase
R00	7595			Adenylosuccinate synthetase	adenylosuccinate synthetase (IMP--aspartate ligase)
R00	7596			Phosphate import ATP-binding protein PstB 5	phosphate ABC transporter ATP-binding protein, PhoT family
R00	7597			Amidophosphoribosyltransferase	glutamine PRPP amidotransferase
R00	7598			7-cyano-7-deazaguanine synthase	hypothetical ATPase
R00	7599			7-cyano-7-deazaguanine synthase	Predicted PP-loop superfamily ATPase
R00	7600			7-cyano-7-deazaguanine synthase	ExsB protein
R00	7601			7-cyano-7-deazaguanine synthase	transcription regulator ExsB homolog
R00	7602			7-cyano-7-deazaguanine synthase	ExsB
R00	7603			7-cyano-7-deazaguanine synthase	transcription regulator
R00	7604			7-cyano-7-deazaguanine synthase	possible ATPase
R00	7605			Ribulose bisphosphate carboxylase large chain	Ribulose bisphosphate carboxylase, large chain
R00	7606			Ribulose bisphosphate carboxylase large chain	Ribulose bisphosphate carboxylase large subunit
R00	7607			Ribulose bisphosphate carboxylase large chain	ribulose bisphosphate carboxylase large chain RbcL
R00	7608			Ribulose bisphosphate carboxylase large chain	ribulose bisphosphate carboxylase large subunit
R00	7609			Ribulose bisphosphate carboxylase large chain	ribulose bisphosphate carboxylase, large chain RbcL
R00	7610			Ribulose bisphosphate carboxylase large chain	Ribulose-bisphosphate carboxylase
R00	7611			Ribulose bisphosphate carboxylase large chain	ribulose-1,5-bisphosphate carboxylase 
R00	7612			Ribulose bisphosphate carboxylase large chain	ribulosebiphosphate carboxylase
R00	7613			Ribulose bisphosphate carboxylase large chain	ribulose bisphosphate carboxylase, large subunit
R00	7614			Ribulose bisphosphate carboxylase large chain	ribulose-1,5-bisphosphate carboxylase oxygenase large subunit precursor
R00	7615			Ribulose bisphosphate carboxylase large chain	Ribulose 1,5-bisphosphate carboxylase large subunit
R00	7616			Peptide chain release factor 2	hypothetical protein
R00	7617			Ribulose bisphosphate carboxylase/oxygenase activase	ribulose 1,5-bisphosphate carboxylase/oxygenase activase
R00	7618			Ribulose bisphosphate carboxylase/oxygenase activase	ribulose 1,5-bisphosphate  carboxylase/oxygenase activase
R00	7619			N-glycosidase Npun_R5314	conserved hypothetical protein CHP02464
R00	7620			Epoxyqueuosine reductase	Uncharacterized Fe-S protein
R00	7621			Phycobilisome 8.9 kDa linker polypeptide, phycocyanin-associated, rod	rod-capping linker polypeptide
R00	7622			Phycobilisome 8.9 kDa linker polypeptide, phycocyanin-associated, rod	phycocyanin-associated, rod-terminating linker protein CpcD
R00	7623			Phycobilisome 8.9 kDa linker polypeptide, phycocyanin-associated, rod	LR9
R00	7624			Phycobilisome 8.9 kDa linker polypeptide, phycocyanin-associated, rod	phycocyanin associated linker protein
R00	7625			Putative RNA-binding protein RbpA	RNA-binding protein
R00	7626			Putative RNA-binding protein RbpA	RNA binding protein
R00	7627			Ribulose bisphosphate carboxylase small chain	ribulose bisphosphate carboxylase small subunit
R00	7628			Ribulose bisphosphate carboxylase small chain	ribulose 1,5-bisphosphate carboxylase/oxygenase small subunit
R00	7629			Ribulose bisphosphate carboxylase small chain	Ribulose bisphosphate carboxylase, small chain
R00	7630			Ribulose bisphosphate carboxylase small chain	Ribulose bisphosphate carboxylase small subunit
R00	7631			Ribulose bisphosphate carboxylase small chain	ribulose-1,5-bisphosphate carboxylase 
R00	7632			Ribulose bisphosphate carboxylase small chain	Ribulose bisphosphate carboxylase, small subunit
R00	7633			Ribulose bisphosphate carboxylase small chain	ribulose-1,5,-bisphosphate carboxylase oxygenase small subunit
R00	7634			Phycobilisome 8.9 kDa linker polypeptide, phycocyanin-associated, rod	rod capping linker protein
R00	7635			Phycobilisome 8.9 kDa linker polypeptide, phycocyanin-associated, rod	9kDa rod linker protein
R00	7636			Phycobilisome 8.9 kDa linker polypeptide, phycocyanin-associated, rod	phycocyanin-associated 7.8kDa rod linker protein
R00	7637			Peptide chain release factor 3	peptide-chain-release factor 3
R00	7638			Peptide chain release factor 3	peptide chain release factor RF-3
R00	7639			DNA repair protein RecO	hypothetical protein
R00	7640			DNA repair protein RecO	Recombination protein O (RecO)
R00	7641			Putative RNA-binding protein RbpD	RNA-binding protein
R00	7642			DNA repair protein RadA homolog	sms protein
R00	7643			Probable RuBisCO transcriptional regulator	LysR transcriptional regulator
R00	7644			Probable RuBisCO transcriptional regulator	transcriptional regulator, LysR family
R00	7645			DNA replication and repair protein RecF	DNA replication and repair protein
R00	7646			DNA replication and repair protein RecF	DNA repair and genetic recombination protein
R00	7647			DNA replication and repair protein RecF	RecF protein
R00	7648			CTP synthase	Glutamine amidotransferase class-I:CTP synthase
R00	7649			Protein RecA	RecA bacterial DNA recombination protein
R00	7650			Protein RecA	RecA protein (recombinase A)
R00	7651			Protein RecA	RecA DNA recombination protein
R00	7652			Protein RecA	recombination protein
R00	7653			Protein RecA	recA protein
R00	7654			Protein RecA	recA protein (recombinase A)
R00	7655			Protein RecA	RecA
R00	7656			Protein RecA	RecA gene product
R00	7657			Protein RecA	RecA recombinase
R00	7658			NADPH-dependent 7-cyano-7-deazaguanine reductase	GTP cyclohydrolase I-like enzyme
R00	7659			NADPH-dependent 7-cyano-7-deazaguanine reductase	GTP cyclohydrolase I
R00	7660			NADPH-dependent 7-cyano-7-deazaguanine reductase	conserved hypothetical protein
R00	7661			NADPH-dependent 7-cyano-7-deazaguanine reductase	GTP cyclohydrolase I family enzyme
R00	7662			NADPH-dependent 7-cyano-7-deazaguanine reductase	unknown protein
R00	7663			Putative RNA-binding protein RbpE	RNA binding protein
R00	7664			Putative RNA-binding protein RbpF	RNA-binding protein
R00	7665			Response regulator rcp1	CheY subfamily
R00	7666			ATP-dependent DNA helicase RecG	DNA recombinase
R00	7667			Probable dihydroorotase-like protein	dihydroorotase
R00	7668			Phycobilisome 9.7 kDa linker polypeptide, phycocyanin-associated, rod	L-9.7/R linker protein
R00	7669			Recombination protein RecR	recombination protein
R00	7670			Putative RNA-binding protein RbpB	RNA-binding protein
R00	7671			ATP-dependent DNA helicase RecQ	ATP-dependent DNA helicase; RecQ
R00	7672			S-adenosylmethionine:tRNA ribosyltransferase-isomerase	Queuosine biosynthesis protein
R00	7673			S-adenosylmethionine:tRNA ribosyltransferase-isomerase	S-adenosylmethionine:tRNA-ribosyltransferase-isom erase
R00	7674			S-adenosylmethionine:tRNA ribosyltransferase-isomerase	S-adenosylmethionine:tRNA ribosyltransferase-isomerase(Queuosine biosynthesis protein queA)
R00	7675			S-adenosylmethionine:tRNA ribosyltransferase-isomerase	queuosine biosynthesis protein
R00	7676			S-adenosylmethionine:tRNA ribosyltransferase-isomerase	S-adenosylmethionine
R00	7677			S-adenosylmethionine:tRNA ribosyltransferase-isomerase	S-adenosylmethionine:tRNA-ribosyltransferase-isomerase
R00	7678			S-adenosylmethionine:tRNA ribosyltransferase-isomerase	queuosine biosynthesis protein; QueA
R00	7679			Ribosome-binding factor A	ribosome binding factor A
R00	7680			Ribosome-binding factor A	ribosome binding facror A
R00	7681			Ribosome-binding factor A	possible Ribosome-binding factor A
R00	7682			Bifunctional protein PyrR	Pyrimidine operon attenuation protein/uracil phosphoribosyltransferase
R00	7683			Bifunctional protein PyrR	pyrR bifunctional protein
R00	7684			Bifunctional protein PyrR	Phosphoribosyltransferase
R00	7685			Bifunctional protein PyrR	pyrimidine operon regulatory protein; PyrR
R00	7686			7-carboxy-7-deazaguanine synthase	Radical activating enzyme
R00	7687			Peptide chain release factor 1	peptide chain release factor RF-1
R00	7688			Peptide chain release factor 1	peptide chain release factor
R00	7689			Peptide chain release factor 1	translation releasing factor RF-1
R00	7690			Peptide chain release factor 1	Protein chain release factor A
R00	7691			DNA repair protein RecN	DNA repair protein; RecN
R00	7692			50S ribosomal protein L10	Ribosomal protein L10
R00	7693			50S ribosomal protein L13	50S ribosomal subunit L13
R00	7694			50S ribosomal protein L13	Ribosomal protein L13
R00	7695			50S ribosomal protein L15	Ribosomal protein L15
R00	7696			Ribosomal protein S12 methylthiotransferase RimO	2-methylthioadenine synthetase
R00	7697			Ribosomal protein S12 methylthiotransferase RimO	unknown
R00	7698			50S ribosomal protein L1	Ribosomal protein L1
R00	7699			50S ribosomal protein L11	Ribosomal protein L11
R00	7700			50S ribosomal protein L14	Ribosomal protein L14
R00	7701			50S ribosomal protein L18	Ribosomal protein L18
R00	7702			Ribosome maturation factor RimM	RimM protein, required for 16S rRNA processing
R00	7703			50S ribosomal protein L21	Ribosomal protein L21
R00	7704			50S ribosomal protein L21	50S ribosomal protein L21-like protein
R00	7705			6,7-dimethyl-8-ribityllumazine synthase	Riboflavin synthase beta-chain
R00	7706			Ribosome maturation factor RimP	conserved hypothetical protein
R00	7707			Ribosome maturation factor RimP	Uncharacterized YhbC family conserved protein
R00	7708			50S ribosomal protein L16	50S ribosomal subunit L16
R00	7709			50S ribosomal protein L16	Ribosomal protein L16/L10E
R00	7710			50S ribosomal protein L17	Ribosomal protein L17
R00	7711			50S ribosomal protein L20	Ribosomal protein L20
R00	7712			50S ribosomal protein L15	rpl 15 protein
R00	7713			Ribosomal protein S12 methylthiotransferase RimO	possible Fe-S oxidoreductase
R00	7714			Ribosomal protein S12 methylthiotransferase RimO	conserved hypothetical protein
R00	7715			Ribosomal protein S12 methylthiotransferase RimO	hypothetical protein
R00	7716			Ribosomal protein S12 methylthiotransferase RimO	CHP1125-containing protein
R00	7717			Ribosomal protein S12 methylthiotransferase RimO	tRNA modifying enzyme MiaB-like protein
R00	7718			Ribosomal protein S12 methylthiotransferase RimO	MiaB-like tRNA modifying enzyme YliG, TIGR01125
R00	7719			Ribosomal protein S12 methylthiotransferase RimO	MiaB tRNA modifying enzyme-like protein
R00	7720			Ribosomal protein S12 methylthiotransferase RimO	Protein of unknown function UPF0004
R00	7721			Ribonucleoside-diphosphate reductase subunit alpha	ribonucleotide reductase subunit alpha
R00	7722			50S ribosomal protein L14	50S Ribosomal protein L14
R00	7723			Probable 16S rRNA-processing protein RimM	16S rRNA processing protein RimM
R00	7724			Ribosome maturation factor RimM	possible 16S rRNA processing protein RimM
R00	7725			Ribosome maturation factor RimM	16S rRNA processing protein RimM homolog
R00	7726			Ribosome maturation factor RimM	rRNA processing protein
R00	7727			6,7-dimethyl-8-ribityllumazine synthase	Putative 6,7-dimethyl-8-ribityllumazine synthase or riboflavin synthase beta chain
R00	7728			6,7-dimethyl-8-ribityllumazine synthase	ribH Riboflavin synthase beta-chain
R00	7729			6,7-dimethyl-8-ribityllumazine synthase	riboflavin synthase beta subunit
R00	7730			6,7-dimethyl-8-ribityllumazine synthase	6,7-dimethyl-8-ribityllumazine synthase, riboflavin synthase beta subunit
R00	7731			6,7-dimethyl-8-ribityllumazine synthase	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)
R00	7732			6,7-dimethyl-8-ribityllumazine synthase	6,7-dimethyl-8-ribityllumazine synthase; riboflavin synthase beta chain
R00	7733			Ribosome maturation factor RimP	DUF150
R00	7734			Ribosome maturation factor RimP	Conserved hypothetical protein
R00	7735			Ribosome maturation factor RimP	YhbC family protein
R00	7736			Ribosome maturation factor RimP	DUF150-containing protein
R00	7737			Ribosome maturation factor RimP	Protein of unknown function DUF150
R00	7738			Probable alpha-L-glutamate ligase	ribosomal protein S6 modification protein
R00	7739			Probable alpha-L-glutamate ligase	possible ribosomal protein S6 modification protein
R00	7740			50S ribosomal protein L16	ribosomal protein L16
R00	7741			50S ribosomal protein L19	50s ribosomal protein L19
R00	7742			50S ribosomal protein L19	possible 50S ribosomal protein L19
R00	7743			50S ribosomal protein L36 2	50S Ribosomal protein L36
R00	7744			50S ribosomal protein L32	Ribosomal protein L32
R00	7745			50S ribosomal protein L27	Ribosomal protein L27
R00	7746			50S ribosomal protein L27	50S ribosomal protein L27-like protein
R00	7747			50S ribosomal protein L29	Ribosomal protein L29
R00	7748			50S ribosomal protein L35	50s ribosomal potein L35
R00	7749			50S ribosomal protein L35	Ribosomal protein L35
R00	7750			50S ribosomal protein L5	Ribosomal protein L5
R00	7751			50S ribosomal protein L2	ribosomal protein L2
R00	7752			50S ribosomal protein L2	Ribosomal protein L2
R00	7753			50S ribosomal protein L34	Ribosomal protein L34
R00	7754			50S ribosomal protein L36	50S Ribosomal protein L36
R00	7755			50S ribosomal protein L36	Ribosomal protein L36
R00	7756			50S ribosomal protein L28	Ribosomal protein L28
R00	7757			50S ribosomal protein L33 1	ribosomal protein L33
R00	7758			50S ribosomal protein L7/L12	Ribosomal protein L7/L12
R00	7759			50S ribosomal protein L7/L12	50S ribosomal protein L12
R00	7760			50S ribosomal protein L36 1	Hypothetical protein
R00	7761			50S ribosomal protein L3	ribosomal protein L3
R00	7762			50S ribosomal protein L3	Ribosomal protein L3
R00	7763			50S ribosomal protein L33	50S Ribosomal protein L33
R00	7764			50S ribosomal protein L33	Ribosomal protein L33
R00	7765			50S ribosomal protein L25	transcriptional regulator, Fis family
R00	7766			50S ribosomal protein L25	ribosomal 5S rRNA E-loop binding protein Ctc/L25/TL5
R00	7767			50S ribosomal protein L23	Ribosomal protein L23
R00	7768			50S ribosomal protein L6	ribosomal protein L6 signature 1
R00	7769			50S ribosomal protein L6	Ribosomal protein L6P/L9E
R00	7770			50S ribosomal protein L33 2	ribosomal protein L33
R00	7771			50S ribosomal protein L22	Ribosomal protein L22
R00	7772			50S ribosomal protein L31	Ribosomal protein L31
R00	7773			50S ribosomal protein L4	ribosomal protein L4/L1e
R00	7774			50S ribosomal protein L4	ribosomal protein L4
R00	7775			50S ribosomal protein L4	Ribosomal protein L4
R00	7776			50S ribosomal protein L24	Ribosomal protein L24
R00	7777			50S ribosomal protein L7/L12	ribosomal protein L12
R00	7778			Uncharacterized ribonuclease sll1290	ribonuclease II
R00	7779			Ribonuclease HII	Ribonuclease HII and HIII
R00	7780			Ribonuclease HII	ribonuclease H
R00	7781			Ribonuclease P protein component	Bacterial ribonuclease P protein component
R00	7782			Ribonuclease P protein component	RNAse P protein component
R00	7783			Ribonuclease P protein component	RNase P protein
R00	7784			Ribonuclease P protein component	ribonuclease P protein component of ribozyme
R00	7785			Ribonuclease P protein component	ribonuclease P protein
